title,bundle,fanRating,fanRatingCount,Final Album,directory,Shares Elements With,Suggested directory,Suggested title,King Tom,Final song title,Type,album,length,composer,BPM,version,uuid,original_filename
Let's Go To The 33rd Dimension - v 10,EWBAITE,4.75,53,None,,,,Let's Go To The 33rd Dimension - v 10,4,Let's Go to the 33rd Dimension,Full Song,EWBAITE,192,Rivers Cuomo,65,1,26d46361c6ae4b8a8fc75eb73dc5ee92,Let's Go To The 33rd Dimension 1
East Coast Or West Coast - v3,EWBAITE,4.75,10,None,\Demos--Previous Versions,,,East Coast Or West Coast - v3,3.5,East Coast or West Coast,Full Song,Demos--Previous Versions,246,,76,3,9301b70fc8744619b3db16dcef17fe53,East Coast or West Coast 3
"Intro. (also Always, Forever) - 2004 Unchained Melody",The Make Believe Years,4.74,31,None,\2004 Unchained Melody,Purple Flowers,,"Intro. (also Always, Forever) - 2004 Unchained Melody",4,Last Chance,Full Song,2004 Unchained Melody,317,Rivers Cuomo,65,,5772a300c4fb4f85aab09e02f2ccea7f,"01 578 Intro. (also Always, Forever"
Let's Go To The 33rd Dimension - v6,EWBAITE,4.73,15,None,\Demos--Previous Versions,,,Let's Go To The 33rd Dimension - v6,3,Let's Go to the 33rd Dimension,Full Song,Demos--Previous Versions,204,,68,6,0e4b4177d2b74179a2de89bc5b1384be,Let's Go To The 33rd Dimension 6
Tell Me What I Want,The Green Years,4.73,13,None,\The Maladroit Years\C.O.R_,,,Tell Me What I Want - original COR,2.5,Tell Me What I Want,Full Song,C.O.R_,272,Rivers Cuomo,118,,f785421cc1cd4d28b9f7366fa5c40cc6,Tell Me What I Want 419
Till You Set Me Right - 2004-06-04,The Make Believe Years,4.72,23,None,\2004-06-04 SIR Prepro,Sweetest One of All,,Till You Set Me Right - 2004-06-04,4.5,You're The One,Full Song,2004-06-04 SIR Prepro,230,Rivers Cuomo,100,,6c4e4ecdf5bf4c59ada1ca63de168e1d,05 393 Till You Set Me Right
The Ballad Of St. George - v9,EWBAITE,4.71,34,None,,,,The Ballad Of St. George - v9,5,The Ballad of St. George,Full Song,EWBAITE,197,Rivers Cuomo,65,9,5a5e7b2d0c904bdfa520912569edcf86,The Ballad Of St. George 9
Let's Go to the 33rd Dimenson - v8,EWBAITE,4.71,19,None,\Demos--Previous Versions,,,Let's Go to the 33rd Dimenson - v8,4.5,Let's Go to the 33rd Dimension,Full Song,Demos--Previous Versions,216,,68,8,5f47e975c7d346418afbb31ed4e6964e,Let's Go To The 33rd Dimension 8
Let's Go To The 33rd Dimension - v9,EWBAITE,4.7,27,None,\Demos--Previous Versions,,,Let's Go To The 33rd Dimension - v9,5,Let's Go to the 33rd Dimension,Full Song,Demos--Previous Versions,200,,65,9,e2944f4cd9d04b9e82d3177fb59e4db7,Let's Go To The 33rd Dimension 9
Up In The Clouds - v26,EWBAITE,4.7,22,None,\Demos--Previous Versions,East Coast or West Coast,,Up In The Clouds - v26,4.5,Up In The Clouds,Full Song,Demos--Previous Versions,224,,84,26,960f85f7b1b84b2c9e14e8c24ff60113,Up In The Clouds 26
East Coast Or West Coast - v5 - vPa,EWBAITE,4.7,15,None,\Demos--Previous Versions,,,East Coast Or West Coast - v5 - vPa,4.5,East Coast or West Coast,Full Song,Demos--Previous Versions,240,,79,5,9f0195c71e1c4d78937f465afa3f7e76,East Coast or West Coast 5 pa
The Ivory Telephone - v10,EWBAITE,4.69,42,None,\Demos--Previous Versions,,,The Ivory Telephone - v10,5,The Ivory Telephone,Full Song,Demos--Previous Versions,203,,65,10,2d1d4bad9dd54f0c80089b74f7259c51,The Ivory Telephone 10
Bless The Whole Wide World 13 aku @107,EWBAITE,4.68,34,None,,,,,4,Bless The Whole Wide World,Full Song,4. Winter--90's singer songwriter elliott smith,226,,107,13,e81c3776fee349bb8c5d89de8a08d6b4,Bless The Whole Wide World 13 aku @107
My Best Friends Are Gone,The Green Years,4.67,24,None,\C.O.R_,,,My Best Friends Are Gone,4,My Best Friends Are Gone,Full Song,C.O.R_,182,Rivers Cuomo,72,,a1af6199643845199a87fb0d6d9cb06d,167 My Best Friends Are Gone
Softies,The Red-Raditude-Hurley Years,4.67,21,None,\2007-06-21 Demos for Weezer album 6,Kilimanjaro,,,5,Softies,Full Song,2007-06-21 Demos for Weezer album 6,280,Rivers Cuomo,72,,c9e99e9ed9074edc9c6ca0ed5f1a3c00,Softies
i see colors 7 solo @97 -2,The Pacific Daydream Black Years,4.67,6,,\Space Between,,,,,,,Demos--Previous Versions,222,,97,7,9f9d4a4a9a984533b6cabdd8f9732e79,i see colors 7 solo @97 -2
Suite from The Black Hole,The Blue-Pinkerton Years,4.66,69,,,,,,4.5,,Song Suite,The Blue-Pinkerton Years,413,,68,,8452c66ee928425189bf371cd32b9df5,Suite from The Black Hole
The Black Rider 034,The Green Years,4.66,16,None,\The Black Room\C.O.R_,,,The Black Rider,4.5,The Black Rider,Full Song,C.O.R_,199,Rivers Cuomo,76,,9431463fc66d4b949bc255e915831686,034 The Black Rider
Me And My Posse (With Counter) - 2004-05-27 Instrumental,The Make Believe Years,4.66,16,None,\2004-05-27 SIR Prepro,,,Me And My Posse (With Counter) - 2004-05-27 Instrumental,3.5,Me and My Posse,Instrumental,2004-05-27 SIR Prepro,104,Rivers Cuomo,100,,22aca94b88774af380b75dac1d5dc736,01 621 Me and My Posse (with counter
Up In the Clouds - v31,EWBAITE,4.65,26,None,\Unknown Album,East Coast or West Coast,,Up In the Clouds - v31,5,Up In The Clouds,Full Song,Unknown Album,179,Rivers Cuomo,113,31,b3a90bb85c974f61909fe617731eb04b,Up In The Clouds 31
Bless The Whole World - v7,EWBAITE,4.65,13,None,\Demos--Previous Versions,,,Bless The Whole World - v7,4.5,Bless the Whole Wide World,Full Song,Demos--Previous Versions,227,,108,7,eae711554a9f48b38e6bff78169cf3cd,Bless The Whole World 7
Real Life Friend - v6,EWBAITE,4.65,10,None,\Demos--Previous Versions,,,Real Life Friend - v6,3.5,Real Life Friend,Full Song,Demos--Previous Versions,249,,104,6,1985a1f770264a8d85c17aa351ab0d99,Real Life Friend 6
She Has A Way With Words - v6 ABA,The White Years,4.65,10,None,,We Are The Indians (melody),,She Has A Way With Words - v6 ABA,3.5,She Has A Way With Words,Full Song,The White Years,213,,68,6,54276320741f447e83c6a75052474c3f,She Has A Way With Words 6 ABA
Surfer Girl - Don Slacks,The Blue-Pinkerton Years,4.64,60,None,\1993-1994 Don Slacks,,,Surfer Girl - Don Slacks,4.5,Surfer Girl,Full Song,1993-1994 Don Slacks,125,Rivers Cuomo,74,,9ef76b0523694462ab7fd61be103c044,23 Surfer Girl
Gravity Will Bring You Down - v13,EWBAITE,4.64,22,None,\Demos--Previous Versions,,,,5,Gravity Will Bring You Down,Full Song,Demos--Previous Versions,175,,108,13,edf1d86580424202b2882adea56602c7,Gravity Will Bring You Down 13
Lost And Found 8 1,Weezma,4.64,22,None,,Cockroach (bridge melody),,Lost And Found - v8 1,3,Lost And Found,Full Song,Weezma,167,,100,8,1e79345d9b0d41bea3de6519af59e034,Lost And Found 8 1
Where to Start - 2004-07-05,The Make Believe Years,4.64,18,None,\2004-07-05 Non A-List Contenders,"Clearer Eyes, Love is an Illusion, All I Need to Know",,Where to Start - 2004-07-05,4.5,Where to Start,Full Song,2004-07-05 Non A-List Contenders,245,Rivers Cuomo,100,,5f5ca440e3b6413aba311732c9886147,05 Where to Start 2004-07-05 532
The Ivory Telephone - v6,EWBAITE,4.64,7,None,\Demos--Previous Versions,,,The Ivory Telephone - v6,4.5,The Ivory Telephone,Full Song,Demos--Previous Versions,208,,65,6,eb44004933d44c8bb014764d15e83763,The Ivory Telephone 6
Meet Up With Our Maker 10,EWBAITE,4.63,26,None,,,,,4.5,Meet Up With Our Maker,Full Song,"Alone IV\written by rc, tracks by rc\",249,Rivers Cuomo,112,10,84b8b0a5bb4e447bb7f3fdc1f3765a79,meet up with our maker 10
French Pop - 107,The Green Years,4.63,19,None,\The Black Room\C.O.R_,,,French Pop,5,French Pop,Full Song,C.O.R_,251,,118,,ea080284df4c4a4383e3b0dd51a908a8,107 French Pop
East Coast Or West Coast - v4,EWBAITE,4.63,19,None,\Demos--Previous Versions,,,East Coast Or West Coast - v4,4,East Coast or West Coast,Full Song,Demos--Previous Versions,246,,76,4,f377ae2861ec487e943e7089fa1680e8,East Coast or West Coast 4
The Rules Of Life - v41,EWBAITE,4.63,15,None,,,,The Rules Of Life - v41,3.5,The Rules of Life,Full Song,EWBAITE,181,Rivers Cuomo,108,41,9450fa968abe4d34918eda0efe26e863,The Rules of Life 41
Womack Church - v2 Instrumental,EWBAITE,4.62,17,None,,,,Womack Church - v2 Instrumental,2.5,Womack Church,Instrumental,EWBAITE,103,Rivers Cuomo,74,,cbd8e6ae2bef4b6496ae6ff910f48e18,womack church 2
Bless The Whole Wide World - v12,EWBAITE,4.62,16,None,,,,Bless The Whole Wide World - v12,5,Bless The Whole Wide World,Full Song,EWBAITE,216,,113,12,f193a50081554e29bfc140f5a8e51fae,Bless The Whole Wide World 12
Beethoven Sonata No. 32 in C Minor 2022-10-28,Piano,4.62,13,,,,,,,,,Piano,8969,,104,,fb01536d010d495489da75428e4596b7,Beethoven Sonata No. 32 in C Minor 2022-10-28
The Rules Of Life - v18,EWBAITE,4.62,12,None,\Demos--Previous Versions,,,The Rules Of Life - v18,4.5,The Rules of Life,Full Song,Demos--Previous Versions,179,,104,18,1c9cb9f5833449b280d4e1717ac2c32c,The Rules of Life 18
I Don't Need You [Demo],The Green Years,4.61,18,None,\The Black Room\C.O.R_,,TKX,I Don't Need You - TKX 91 - demo,5,I Don't Need You,Full Song,C.O.R_,228,,81,,364112cce9ea43fe9ae031744e631809,TKX-91 I Don't Need You [demo]
The Rules Of Life - v11,EWBAITE,4.61,9,None,\Demos--Previous Versions,,,The Rules Of Life - v11,4.5,The Rules of Life,Full Song,Demos--Previous Versions,185,,100,,6d8543a19f3f41c8a19e0db0e1e2bee3,The Rules of Life 11
Why Won't You Love Me - v13 easy @67,The White Years,4.61,9,,\Rivers Cuomo,,,Why Won't You Love Me - v13 easy @67,2.5,Why Won't You Love Me,Full Song,Rivers Cuomo,116,Rivers Cuomo,67,13,8c9e97b2c173432f8953f38a25a1c978,Why Won't You Love Me 13 easy @67
Rosemary - 1997 Spanky McNally,The Blue-Pinkerton Years,4.6,42,None,\1997 Spanky McNally,,,Rosemary - 1997 Spanky McNally,5,Rosemary,Full Song,1997 Spanky McNally,246,Rivers Cuomo,108,,fa40258752314f7db1583ab3ed3221b9,05 Rosemary
Bless The Whole Wide World - v12 2,EWBAITE,4.6,25,None,\Demos--Previous Versions,,,Bless The Whole Wide World - v12 2,5,Bless the Whole Wide World,Full Song,Demos--Previous Versions,216,,113,12,7fad8634037c4fd08686750c4b0921a8,Bless The Whole Wide World 12 2
Gravity Will Bring You Down - v10,EWBAITE,4.6,10,None,\Demos--Previous Versions,,,Gravity Will Bring You Down - v10,5,Gravity Will Bring You Down,Full Song,Demos--Previous Versions,180,,104,10,77bf1014a20e4a8da1e4933487d9e93b,Gravity Will Bring You Down 10
"Beethoven Sonata No. 4 in E-flat Major, 1. Allegro 2. Largo-06",Piano,4.6,10,,,,,,,,,Piano,2924,,65,,9cab3d21ee194241811350246269e052,"Beethoven Sonata No. 4 in E-flat Major, 1. Allegro 2. Largo-06"
"Beethoven Sonata No. 8 in C Minor, 3. Allegro and Sonata No. 9-16",Piano,4.6,10,,,,,,,,,Piano,2271,,96,,529f5fc9a87344d49dca2789597e23ef,"Beethoven Sonata No. 8 in C Minor, 3. Allegro and Sonata No. 9-16"
Two Broken Hearts 4 drums @132 -5,The Pacific Daydream Black Years,4.6,5,,\The Black Album,,,,4,Two Broken Hearts,Full Song,Demos--Previous Versions,174,,66,4,3f06d7ce091f4ad884af2dcf9b61e939,Two Broken Hearts 4 drums @132 -5
The Rules Of Life - v32 1,EWBAITE,4.59,41,None,\Demos--Previous Versions,,Duplicate,The Rules Of Life - v32 1,4,The Rules of Life,Full Song,Demos--Previous Versions,179,,108,32,fc16caff40eb446991d6caa77bf0099a,The Rules of Life 32 1
Charlie Brown - v3,EWBAITE,4.59,40,None,\Demos--Previous Versions,,,Charlie Brown - v3,3.5,Charlie Brown,Full Song,Demos--Previous Versions,213,,72,3,4baadbc45c9040948839fa65b581b243,Charlie Brown 3
Hawaii 9,The White Years,4.59,33,None,\Unknown Album,,,Hawaii - v9,4.5,Hawaii,Full Song,Unknown Album,198,Rivers Cuomo,87,9,97d8d36939934be9910125899c888e8e,Hawaii 9
Fair Weather Friend - v8,EWBAITE,4.58,26,None,\Demos--Previous Versions,,,Fair Weather Friend - v8,3,Fair Weather Friend,Full Song,Demos--Previous Versions,199,,89,8,7b918fd2d765432195d17e5ed56881d1,Fair Weather Friend 8
Let's Go To The 33rd Dimension - v8 1,EWBAITE,4.58,13,None,\Demos--Previous Versions,,Duplicate,Let's Go To The 33rd Dimension - v8 1,4.5,Let's Go to the 33rd Dimension,Full Song,Demos--Previous Versions,216,,68,8,f9667f2746af4e54b18ae9be205ee733,Let's Go To The 33rd Dimension 8 1
Meet Up With Our Maker - v6,EWBAITE,4.58,13,None,\Demos--Previous Versions,,,Meet Up With Our Maker - v6,4.5,Meet Up With Our Maker,Full Song,Demos--Previous Versions,224,,113,,4260714787054bc79ffdd8d4ddb4f647,Meet Up With Our Maker 6
Let's Sew Our Pants Together,Patrick & Rivers,4.58,13,None,\1992-05-xx- demo,,,,3.5,Let's Sew Our Pants Together,Full Song,1992-05-xx- demo,231,Rivers Cuomo and Patrick Wilson,65,,e7018947407846f98544a09a8003f66b,02 Let's Sew Our Pants Together
We Are Fighters 4,Weezma,4.58,12,None,,,,We Are Fighters - v4,4,We Are Fighters,Full Song,Weezma,195,,118,4,323d7c4ba04e4cd6a4909968bda395bf,We Are Fighters 4
It's Not the Same As It Was 18 @118 -1,The Pacific Daydream Black Years,4.58,6,,\The Black Album,,,,4.5,Two Broken Hearts,Full Song,Demos--Previous Versions,199,,118,18,f141d71156f7480e8e67a4444dfe9acd,It's Not the Same As It Was 18 @118 -1
If I Fell - Monterey Jack,The Blue-Pinkerton Years,4.57,61,None,\1992-1993 Monterey Jack,,,If I Fell - Monterey Jack,4,If I Fell,Full Song,1992-1993 Monterey Jack,140,Beatles,108,,926939a4ef2d41178da2255694261e5c,24 If I Fell
Up In The Clouds 32,EWBAITE,4.57,53,None,,,,,5,Up in the Clouds,Full Song,Sitek album\,197,,86,32,5f7511ca2b734ed887831c522afa8e29,Up In The Clouds 32
Meet Up With Our Maker - v10,EWBAITE,4.57,53,None,\Demos--Previous Versions,,,Meet Up With Our Maker - v10,4,Meet Up With Our Maker,Full Song,Demos--Previous Versions,249,,113,10,75aba485e59747b385e65bcc3354c29d,Meet Up With Our Maker 10
Me And My Posse - 2004-05-18 Instrumental,The Make Believe Years,4.57,23,None,\2004-05-18 SIR Preproduction MELODIC,,,Me And My Posse - 2004-05-18 Instrumental,4,Me and My Posse,Instrumental,2004-05-18 SIR Preproduction MELODIC,110,Rivers Cuomo,96,,ed1b91433f79491d85c38b995f30c4da,01 621 Me and My Posse
The Tower Of Babel - v3 / The Waste Land,EWBAITE,4.57,23,None,\Demos--Previous Versions,,,The Tower Of Babel - v3 / The Waste Land,4,The Tower of Babel / The Waste Land,Full Song,Demos--Previous Versions,361,,79,3,5ba6c74106404aa39ca47eecc2a04ec5,The Tower of Babel 3
Expatriates In Paris 10 1,Weezma,4.57,15,None,,,,Expatriates In Paris - v10 1,4.5,Expatriates In Paris,Full Song,Weezma,268,,68,10,ed68dc37b2914494a321067552963715,Expatriates In Paris 10 1
"Beethoven Sonata No. 12 in A-flat Major, 2. Scherzo 3. Allegro 2022-07-23",Piano,4.57,14,,,,,,,,,Piano,759,,86,,fdc4173df2604a8bbe2f1cc35f8817b4,"Beethoven Sonata No. 12 in A-flat Major, 2. Scherzo 3. Allegro 2022-07-23"
The Rules Of Life - v13,EWBAITE,4.57,7,None,\Demos--Previous Versions,,,The Rules Of Life - v13,5,The Rules of Life,Full Song,Demos--Previous Versions,183,,104,,adae2cb782784db389ead24400b54af9,The Rules of Life 13
1994 Interview with Pat Wilson,Patrick & Rivers,4.57,7,,\2001-06-13 BBC Radio 1 Session,,,,,,,2001-06-13 BBC Radio 1 Session,332,Patrick Wilson,108,,bac1f903ee71453a8ed65362ca49cd44,01 1994 Interview with Pat Wilson
East Coast Or West Coast - v2,EWBAITE,4.57,7,None,\Demos--Previous Versions,,,East Coast Or West Coast - v2,3,East Coast or West Coast,Full Song,Demos--Previous Versions,246,,76,2,7a1fb42448d9469a9ecb5c4567da9a2d,East Coast or West Coast 2
The Ivory Telephone - v3,EWBAITE,4.56,18,None,\Demos--Previous Versions,,,The Ivory Telephone - v3,4,The Ivory Telephone,Full Song,Demos--Previous Versions,193,,65,,c4444481c98a4d1b8f0c9b95234753a0,The Ivory Telephone 3
"Beethoven Sonata No. 31 in A-flat Major, 2. Allegro 3. Adagio 2022-08-27",Piano,4.56,18,,,,,,,,,Piano,3126,,62,,bbde4fbacfbe4944ad673ab7cbcf104c,"Beethoven Sonata No. 31 in A-flat Major, 2. Allegro 3. Adagio 2022-08-27"
Expatriates In Paris 10,Weezma,4.56,17,None,,,,Expatriates In Paris - v10,4.5,Expatriates In Paris,Full Song,Weezma,268,,68,10,d806664be080437ba7c3a5a3651f7591,Expatriates In Paris 10
Time Is Running Out - 2004-06-03,The Make Believe Years,4.56,16,None,\2004-06-03 SIR Preproduction,Simple Fisherman,,Time Is Running Out - 2004-06-03,3,Time is Running Out,Full Song,2004-06-03 SIR Preproduction,211,Rivers Cuomo,100,,68f18b1104834ca6be2dadfdfedc3276,06 588 Time is Running Out
Exonerate Me - v6 1,EWBAITE,4.55,31,None,\Demos--Previous Versions,,Duplicate,Exonerate Me - v6 1,4,Exonerate Me,Full Song,Demos--Previous Versions,189,,62,6,bde9f5a7720346e5b1719615ebaed320,Exonerate Me 6 1
Wagamama - v5,EWBAITE,4.55,11,,\Demos--Previous Versions,,,,,,,Demos--Previous Versions,213,,76,5,f1bd7b7d02484df6bd90d26843a1e9a9,Wagamama 5
Simple Fisherman (8va Solo D) - 2004-05-18,The Make Believe Years,4.55,10,None,\2004-05-18 SIR Preproduction MELODIC,,,Simple Fisherman (8va Solo D) - 2004-05-18,4.5,Time Is Running Out,Full Song,2004-05-18 SIR Preproduction MELODIC,230,Rivers Cuomo,93,,ae0a366123e94800bdf4e97d7b14204c,07 588 Simple Fisherman (8va solo_ d
St. George - v3 Additional Ch,EWBAITE,4.55,10,None,\Demos--Previous Versions,Hippies (verse melody),,St. George - v3 Additional Ch,4.5,The Ballad of St. George,Full Song,Demos--Previous Versions,202,,65,3,50fc67f9b5774d7387ac3ee9f215ac9c,St. George 3 additional ch
Go Get It 3,The Pacific Daydream Black Years,4.55,10,,\The Black Album,,,,4.5,,Full Song,Demos--Previous Versions,208,,63,3,7462396c539c4235832298a73313ae5f,Go Get It 3
Up In The Clouds - v26 1,EWBAITE,4.54,37,None,\Demos--Previous Versions,East Coast or West Coast,Duplicate,Up In The Clouds - v26 1,,Up In The Clouds,Full Song,Demos--Previous Versions,224,,84,26,a2c628a639e64ad786e7daab418ceda8,Up In The Clouds 26 1
Queen Of Hearts,The Green Years,4.54,14,None,\The Maladroit Years\C.O.R_,,,Queen Of Hearts,3.5,Queen of Earth,Full Song,C.O.R_,241,Rivers Cuomo,113,,a5e23d42b546449bbb04387c41c93136,362 Queen of Hearts
Gravity Will Bring You Down - v8,EWBAITE,4.54,13,None,\Demos--Previous Versions,,,Gravity Will Bring You Down - v8,5,Gravity Will Bring You Down,Full Song,Demos--Previous Versions,192,,104,8,9066000d8c934e438463d2a2809ba76a,Gravity Will Bring You Down 8
"Pleased To Meet You (Annie, Come Home)",The Green Years,4.54,12,None,\C.O.R_,,,"Pleased To Meet You (Annie, Come Home)",3.5,"Pleased To Meet You (Annie, Come Home)",Full Song,C.O.R_,243,Rivers Cuomo,108,,c9f0c53850134034ba1e76fd0137e6ba,"133 Pleased to Meet You (Annie, come 2"
Gravity Will Bring You Down 13,EWBAITE,4.53,36,None,,,,Full Song,5,Gravity Will Bring You Down,Full Song,EWBAITE,175,Rivers Cuomo,107,13,a344326c0813499e9fff2f5f8faae699,Gravity Will Bring You Down 13
Purple Flowers - 2004-02-11,The Make Believe Years,4.53,36,None,\2004-02-13 SIR Preproduction - Week 3,Last Chance,,Purple Flowers - 2004-02-11,2,Purple Flowers,Full Song,2004-02-13 SIR Preproduction - Week 3,223,Rivers Cuomo,62,,2ea7e191e09844e2acf17c6d5f8c4e7f,14 578 Purple Flowers 2004-02-11
Suicide Pilot 068,The Green Years,4.53,18,None,\The Black Room\C.O.R_,,,Suicide Pilot,4.5,Suicide Pilot,Full Song,C.O.R_,165,Rivers Cuomo,118,,f25d6eb726f545a7ac65e16897764bd1,068 Suicide Pilot 2
Phlegm Man - 2,The Green Years,4.53,17,None,\The Black Room\C.O.R_,,,Phlegm Man - 2,4,Phlegm Man,Full Song,C.O.R_,188,Rivers Cuomo,68,,fb23caad033b4210bb459c80003803d7,093 Phlegm Man 2
Expatriates In Paris 4,Weezma,4.53,15,None,,,,Expatriates In Paris - v4,4,Expatriates In Paris,Full Song,Weezma,257,,65,4,e94e07a8b6934eaab5d883abc311f241,Expatriates In Paris 4
What The Hell 3,Weezma,4.53,15,None,,,,What The Hell - v3,4,What The Hell,Full Song,Weezma,199,,96,3,f0504de3844041ba82a4e675f2d25dc0,What The Hell 3
Simply State - Monterey Jack,The Blue-Pinkerton Years,4.52,51,None,\1992-1993 Monterey Jack,"Blast Off!, El Scorcho",,Simply State - Monterey Jack,4.5,Simply State,Full Song,1992-1993 Monterey Jack,92,Rivers Cuomo,72,,0ec0f45cebf945e6a26c76e4ce31ed23,01 Simply State
The Rules of Life 6,EWBAITE,4.52,24,None,,,,The Rules Of Life - v6,4.5,The Rules of Life,Full Song,EWBAITE,168,,104,6,4ef84a1c6f1f41dda33ba2644a3f9a6b,The Rules of Life 6
Somebody Save 088,The Green Years,4.52,23,None,\The Black Room\C.O.R_,,,Somebody Save,4,Somebody Save Me,Full Song,C.O.R_,125,Rivers Cuomo,72,,74831095f05345f1abb6b44246c13cdd,088 Somebody Save
Expatriates In Paris 11,Weezma,4.52,21,None,,,,Expatriates In Paris - v11,5,Expatriates In Paris,Full Song,Weezma,226,,68,11,84d19c2a33f4492d9275d8f7cc742fd2,Expatriates In Paris 11
Stand By My Side - v3,The Make Believe Years,4.52,21,None,\Unknown Album,,,Stand By My Side - v3,4,Stand By My Side,Full Song,Unknown Album,252,Rivers Cuomo,76,3,7c7f98a62b4243d3a340456313de24d0,Stand By My Side 3 1
The Rules Of Life - v46,EWBAITE,4.52,21,None,\Demos--Previous Versions,,,The Rules Of Life - v46,3,The Rules of Life,Full Song,Demos--Previous Versions,184,,104,46,99f11059da1b4d48969f6562bf975817,The Rules of Life 46
The Gift Of Gab - v11,EWBAITE,4.51,47,None,\Demos--Previous Versions,,,The Gift Of Gab - v11,4,The Gift Of Gab,Full Song,Demos--Previous Versions,183,,113,11,0c4817d5524e4690898776ebb81af97d,The Gift Of Gab 11
What Is This I Find - SFTBH,The Blue-Pinkerton Years,4.5,35,,\Songs From The Black Hole,,,What Is This I Find - SFTBH,3.5,What Is This I Find,,Songs From The Black Hole,81,Rivers Cuomo,68,,85f945ed1b8e4e018ac8c5b0fa4fbd35,16 What Is This I Find
Mother Dearest,The Red-Raditude-Hurley Years,4.5,34,None,\2007-06-21 Demos for Weezer album 6,,,,5,Mother Dearest,Full Song,2007-06-21 Demos for Weezer album 6,287,Rivers Cuomo,65,,1bfe4e3aee3d4a4d9b17631662942169,Mother Dearest
Teenage Victory Song,The Green Years,4.5,28,None,\C.O.R_,,,Teenage Victory Song,4,Teenage Victory Song,Full Song,C.O.R_,157,Rivers Cuomo,62,,8e052b244e9d4b8d8e139df86410d392,211 Teenage Victory Song
The Tower Of Babel - v7,EWBAITE,4.5,24,None,\Demos--Previous Versions,,,The Tower Of Babel - v7,4,The Tower of Babel,Full Song,Demos--Previous Versions,205,,81,7,1572a272636347809a841669e9f64ebe,The Tower of Babel 7
St. George - v6,EWBAITE,4.5,18,None,\Demos--Previous Versions,Hippies (verse melody),,St. George - v6,4,The Ballad of St. George,Full Song,Demos--Previous Versions,187,,65,6,9aece5b45686403d9534ef8f401db199,St. George 6
The Tower Of Babel - v6 1,EWBAITE,4.5,14,None,\Demos--Previous Versions,,Duplicate,The Tower Of Babel - v6 1,,The Tower of Babel,Full Song,Demos--Previous Versions,202,,81,6,2bedb46de3274752bffb7d1abcee0b7e,The Tower of Babel 6 1
