title,bundle,fanRating,fanRatingCount,Final Album,directory,Shares Elements With,Suggested directory,Suggested title,King Tom,Final song title,Type,Explicit (Y/N),Album Cover,Recording Device,Fan Comment,Lyrics,artist,cowriter,album,length,comment,composer,feel,genesis,section,key,mode,suzyVerdict,suzyRating,suzyComment,scoreTotal,jd,jdComment,BPM,sitekrating,version,masterpiece,blue,vanweez,solo,rock,uuid,original_filename
380.4,The Green Years,3,3,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,160,,Rivers Cuomo,,,,,,,,,,,,96,,,,,,,,7287268bdffa4ef8bb95e37b27acc011,380.4
384,The Green Years,4,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,56,,Rivers Cuomo,,,,,,,,,,,,86,,,,,,,,9c04d194c35e49ebbb9bb9f663972aa4,384
386,The Green Years,3,3,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,68,,Rivers Cuomo,,,,,,,,,,,,65,,,,,,,,f489275817494fba868dd68b9a9df9a0,386
388,The Green Years,3,5,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,106,,Rivers Cuomo,,,,,,,,,,,,87,,,,,,,,5c98f79888934e648c0ca6715db7c588,388
397,The Green Years,3.5,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,120,,Rivers Cuomo,,,,,,,,,,,,104,,,,,,,,f742202338ae42dbab1fe2059ce11566,397
397.2,The Green Years,2.83,6,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,260,,Rivers Cuomo,,,,,,,,,,,,108,,,,,,,,7edbbb62f87a4ea6a7181f519c146f0f,397.2
399,The Green Years,2.8,5,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,24,,Rivers Cuomo,,,,,,,,,,,,81,,,,,,,,a73a889695354d84a284c932209047dc,399
400,The Green Years,3.33,3,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,49,,Rivers Cuomo,,,,,,,,,,,,104,,,,,,,,248d6ac792ff491c989f875590056f4c,400
401,The Green Years,3.33,3,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,55,,Rivers Cuomo,,,,,,,,,,,,74,,,,,,,,d20fcd8ee5f9483cb04c9784fcc46319,401
402,The Green Years,3.5,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,140,,Rivers Cuomo,,,,,,,,,,,,118,,,,,,,,e496457357eb47bfa422d2334d08af86,402
403,The Green Years,3.14,7,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,137,,Rivers Cuomo,,,,,,,,,,,,76,,,,,,,,5130adc30434406a97017a85a6fc8627,403
411,The Green Years,3,4,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,95,ideas,Rivers Cuomo,,,,,,,,,,,,77,,,,,,,,8f2da31ffeaa4a9097854823b92b47b6,411
420.1,The Green Years,3,5,,\The Maladroit Years\2 stars and below,,,,,,,,,,,,Rivers Cuomo,,C.O.R_,103,,Rivers Cuomo,,,,,,,,,,,,72,,,,,,,,48e7ac7c5920407c88b6ed7f66832ca5,420.1
1212,By The People,3.92,12,,\Candiandjustin,,,,,,,,,,,,GUBENTHAL,,Candiandjustin,228,,,,,,,,,,,,,,62,,,,,,,,3ce8b68598b449eaa4d8de9bcebf7c40,1212
1765,The Pacific Daydream Black Years,3.41,27,,\Work,,,,,,,,,,,,,,Work,45,,,,,,,,,,,,,,65,,,,,,,,324895c787ad48b49117bab9764f8d30,1765
29/01/2005,The Red-Raditude-Hurley Years,2.36,7,None,\Unknown Album,,,,1.5,,Sketch,N,,,,,,,Unknown Album,72,,,,,,,,,,,,,,81,,,,,,,,49eafa9fb46b4ed9b73e45354c8a686a,29/01/2005
14/02/2005,The Red-Raditude-Hurley Years,2.38,4,None,\Unknown Album,,,,1.5,,Sketch,N,,,,,,,Unknown Album,35,,,,,,,,,,,,,,72,,,,,,,,399c9368f3d04dd2b5e75625a5505863,14/02/2005
15/02/2005,The Red-Raditude-Hurley Years,2.08,6,None,\Unknown Album,,,,1.5,,Sketch,N,,,Piano track,,,,Unknown Album,20,,,,,,,,,,,,,,108,,,,,,,,610f3ce7e0e04cd6b18f755307ed17ca,15/02/2005
01 01,Pre-Weezer,2.35,10,None,\1989-01 Four trackin w Mike,,,,1.5,,Riff,N,,,,,Rivers Cuomo and Mike Stanton,,1989-01 Four trackin w Mike,26,,Rivers,,,,,,,,,,,,87,,,,,,,,9e3d069af0f74e5c9092ce19ede2fa84,01 01
02 02,Pre-Weezer,1.79,7,None,\1989-01 Four trackin w Mike,,,,1.5,,Riff,N,,,,,Rivers Cuomo and Mike Stanton,,1989-01 Four trackin w Mike,28,,,,,,,,,,,,,,104,,,,,,,,53d512ab31fb4ea59616e632f935889b,02 02
03 03,Pre-Weezer,2.06,9,None,\1989-01 Four trackin w Mike,,,,1.5,,Riff,N,,,,,Rivers Cuomo and Mike Stanton,,1989-01 Four trackin w Mike,33,,,,,,,,,,,,,,65,,,,,,,,a63cb9aa03aa4d62bc53aee67e282fc7,03 03
_b2 5 1 piano 2012-05-03_08-41,EWBAITE,2,4,None,\2 stars and below,,,,1,,Instrumental,N,,,,,Rivers Cuomo,,ideas--Used,88,,Rivers Cuomo,,piano,,,,,,,,,,89,,,,,,,,38b7ea56dd5644d1a43254bcb12a8337,_b2 5 1 piano 2012-05-03_08-41
_midtempo 1 4 5 groove,EWBAITE,2.33,3,None,\2 stars and below,,,,1,,Beat Box,N,,,,,Rivers Cuomo,,Unknown Album,15,,,,,,,,,,,,,,72,,,,,,,,473b98667319445e9eae5ec425ec59c7,_midtempo 1 4 5 groove
_tom sawyer bass riff,The Red-Raditude-Hurley Years,2.5,3,,\Ideas--Used,,,,1.5,,Riff,N,,,,,Rivers Cuomo,,Ideas--Used,67,used i'm weird,Rivers Cuomo,,,riff,,,,,,,,,89,,,,,,,,f16b9a19b8ea425b91356baed0cb1228,_tom sawyer bass riff
- This Love Piano Verse - I V iiii IV,The Red-Raditude-Hurley Years,2.88,17,,\Demos--Previous Versions,,,,2,,Sketch,N,,,Instrumental,(Instrumental),,,Demos--Previous Versions,163,,,,piano,verse,,,,,,,,,93,,,,,,,,42ab48562a694591a61f4b995b5fa3a7,- This Love Piano Verse - I V iiii IV
@100_2015_2_20_16_1_45,The White Years,2.56,8,,,,,,1.5,,instrumental / sketch,N,,,"Piano, sounds like fake smiles and nervous laughter.",,,,The White Years,142,,,,,,,,,,,,,,113,,,,,,,,afc0e5e4f92b4b4fa07d3dfbbab64a6d,@100_2015_2_20_16_1_45
@102_2015_2_14_14_41_10,The White Years,1.93,7,,,,,,1.5,,Sketch,N,,,Vocalizing,,,,The White Years,37,,,,,,,,,,,,,,100,,,,,,,,b3a4cdabbec549e3ac19106a343e2367,@102_2015_2_14_14_41_10
@104_taking_me_for_granted_2015_3_3_,The White Years,2.07,7,,,,,,1.5,,Sketch,N,,,,,,,The White Years,47,,,,,,,,,,,,,,104,,,,,,,,6bc6574ce58240f48153982bb67f5401,@104_taking_me_for_granted_2015_3_3_
@108_2015_3_3_10_42_9,The White Years,2.08,6,None,\Rivers Cuomo,,,,1.5,,Sketch,N,,,"Rivers working on a melody on piano. Halfway through, he changes the melody and comments ""that's old, don't overdevelop"" than plays the rest of the clip on acoustic guitar",,Rivers Cuomo,,Rivers Cuomo,232,used,Rivers Cuomo,,,,,,,,,,,,108,,,,,,,,e98b2e8245b2465ab09faa7212b85a45,@108_2015_3_3_10_42_9
@112 03-09-2015-201009,The White Years,2.5,7,None,\Rivers Cuomo,,,,1.5,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,103,work,Rivers Cuomo,,,,,,,,,,,,112,,,,,,,,50866d97724a4393b288eabb0afa352f,@112 03-09-2015-201009
@115 Untitled4-1,The White Years,2,6,None,\Rivers Cuomo,,,,1,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,86,,Rivers Cuomo,,title,,,,,,,,,,115,,,,,,,,bfe217dbc83e457489f47d0591a18046,@115 Untitled4-1
@115 Untitled5-1,The White Years,1.17,6,None,\Rivers Cuomo,,,,1,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,21,,Rivers Cuomo,,title,,,,,,,,,,115,,,,,,,,3b8557f5b1e3461d97c3f188c4a0e14e,@115 Untitled5-1
@115 Untitled6-1,The White Years,2,8,None,\Rivers Cuomo,,,,1,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,34,,Rivers Cuomo,,title,,,,,,,,,,115,,,,,,,,9e153dd8ff1d4cdb97195a8377795833,@115 Untitled6-1
@116_2015_2_16_12_49_50,The White Years,1.75,6,OK Human,,,,,1.5,Here Comes the Rain,sketch,N,,,"bridge melody for ""Here Comes the Rain"" ; piano and vocalizing",,,,The White Years,84,,,,,,,,,,,,,,62,,,,,,,,9ec5d514b2684a8f8952321adbe29fe6,@116_2015_2_16_12_49_50
@116_2015_3_4_10_14_17,The White Years,2.4,5,None,\Rivers Cuomo,You Make Me Believe in God,,,1,,Sketch,N,,,Piano sketch for melody from You Make Me Believe in God,,Rivers Cuomo,,Rivers Cuomo,232,used,Rivers Cuomo,,,,,,,,,,,,116,,,,,,,,4bf9150c30984ac9931b57a51e2b6555,@116_2015_3_4_10_14_17
@116_a20_2015_2_24_14_31_25,The White Years,1.7,5,,,,,,1.5,,sketch,N,,,across the milky way?,,,,The White Years,87,,,,,,,,,,,,,,118,,,,,,,,1e870fdd2352431db532e1ec5acd7ea7,@116_a20_2015_2_24_14_31_25
@120_2015_3_2_11_48_12,The White Years,2.1,5,,,,,Let me love you,1.5,,sketch,N,,,master rock solo organ ?,,,,The White Years,154,,,,,,,,,,,,,,62,,,,,,,,a4010f9b262a4db191516b1bb5d52794,@120_2015_3_2_11_48_12
@120_2015_3_5_12_22_27,The White Years,2.25,6,,,,,,1.5,,instrumental piano sketch,N,,,,,,,The White Years,211,,,,,,,,,,,,,,113,,,,,,,,c84b204927804bcdb49904218a7ffe12,@120_2015_3_5_12_22_27
"@126',,120_2015_2_23_10_24_50",The White Years,2.79,7,,,,,,1.5,,guitar sketch,N,,,a string tuned down to a g; 0:55 through 1:10 sounds like it could be something,,,,The White Years,84,,,,,,,,,,,,,,113,,,,,,,,5a6f0cc627624e148249e2cbe9c0343a,"@126',,120_2015_2_23_10_24_50"
@130_2015_2_18_15_2_55,The White Years,2.3,10,None,\Rivers Cuomo,,,,1,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,325,,Rivers Cuomo,,,,,,,,,,,,65,,,,,,,,5fad8a8a4c9d408c81dfb75b8907e040,@130_2015_2_18_15_2_55
@132_2015_2_23_10_29_9,The White Years,2.75,6,,,,,,1.5,,guitar sketch,N,,,a string tuned down to a g,,,,The White Years,147,,,,,,,,,,,,,,65,,,,,,,,25cb49760a2249a68f1f50e7b7932a83,@132_2015_2_23_10_29_9
@138_2015_2_14_16_2_10,The White Years,1.6,5,,,,,Say Tonight,1,,sketch,N,,,,,,,The White Years,46,,,,,,,,,,,,,,68,,,,,,,,81780155cc9c442bbc001c298f8986d2,@138_2015_2_14_16_2_10
@138_2015_3_6_12_14_30,The White Years,2.1,5,,\Rivers Cuomo,,,Two Broken Hearts 2015-3-6 piano sketch,1.5,Two Broken Hearts,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,87,,Rivers Cuomo,,,,,,,,,,,,69,,,,,,,,340a3f23ab2a4bddba8c2fec8c60444b,@138_2015_3_6_12_14_30
@144_2015_3_26_16_28_34,The White Years,2.4,5,None,,,,,2,,Voice Memo with Guitar,N,,,,,,,The White Years,109,,,,,,,,,,,,,,68,,,,,,,,5412770d2c1640ad9d6e7f60d26ffff4,@144_2015_3_26_16_28_34
@152_2015_3_3_11_0_25,The White Years,2.64,7,None,\Rivers Cuomo,,,,1.5,,Sketch,N,,,Love - want to be here together on guitar and piano,,Rivers Cuomo,,Rivers Cuomo,189,used,Rivers Cuomo,,,,,,,,,,,,76,,,,,,,,bdbbacc8322d42aca28e5f203a3e0db8,@152_2015_3_3_11_0_25
@152_2015_3_5_14_32_36,The White Years,2.2,5,None,,,,,2,,Sketch,N,,,,,,,The White Years,319,,,,,,,,,,,,,,76,,,,,,,,16fd0e1ec5eb4cd2b8bb560d6c880b1c,@152_2015_3_5_14_32_36
@190_2015_2_14_13_51_42,The White Years,1.4,5,None,\Rivers Cuomo,,,,1,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,36,used,Rivers Cuomo,,,,,,,,,,,,95,,,,,,,,5e9bc0ec70114c3b8a0b1c22ab2a4d8e,@190_2015_2_14_13_51_42
@210_2015_2_14_13_47_13,The White Years,1.8,5,None,\Rivers Cuomo,,,,1,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,46,used,Rivers Cuomo,,,,,,,,,,,,105,,,,,,,,b24504388a474e8aba76bd2fa73b5621,@210_2015_2_14_13_47_13
@210_2015_3_27_15_45_18,The White Years,1.58,6,,,,,,1.5,,Voice memo,N,,,vocalizing,,,,The White Years,39,,,,,,,,,,,,,,106,,,,,,,,c0ab4f353d1a412cafe442422a5ea2fd,@210_2015_3_27_15_45_18
@60_2015_3_28_15_4_36,The White Years,2.3,5,,,,,,1.5,,,N,,,,,,,The White Years,35,,Rivers Cuomo,,,,,,,,,,,,60,,,,,,,,fac82fe7c0eb44a09cbceefccab3e962,@60_2015_3_28_15_4_36
@77I_want_down_time_2015_2_23_17_23_,The White Years,1.75,6,OK Human,,,,I Want Down Time - @77 2015-2-23,1.5,Aloo Gobi,sketch,N,,,verse and pre-chorus melody for Aloo Gobi,,,,The White Years,57,,,,,,,,,,,,,,72,,,,,,,,61c515fcda13492483c41a85915567e8,@77I_want_down_time_2015_2_23_17_23_
@80._2015_3_4_10_8_48,The White Years,1.9,5,None,,,,I Should Be Feeling More,1.5,,sketch,N,,,acoustic chorus,,,,The White Years,84,,,,,,,,,,,,,,76,,,,,,,,9e41b0290d344f9bb5846a8151c4861a,@80._2015_3_4_10_8_48
@88,The White Years,2.3,5,None,\Rivers Cuomo,,,,1.5,,Sketch,N,,,,,Rivers Cuomo,,Rivers Cuomo,112,used,Rivers Cuomo,,,,,,,,,,,,88,,,,,,,,c3a758cff845447095b3f1e5e2ea244d,@88
@96_on_the_beach_2015_2_26_15_12_41,The White Years,3.73,11,SZNZ: Spring,,,,,2,All This Love,Sketch,N,,,Acoustic sketch with vocals. Becomes verse melody for All This Love,"On the beach 
Here you go 
Found the… 
… 
On the beach 
… 
And the … 
… 
On the beach 
Where you go 
…sing… 
… 
On the beach 
… 
Half a day 
… 
What you do on the beach 
… 
Where I want to be 
…",,,Ideas\,308,,Rivers Cuomo,,,,,,,,,2,,,96,,,,,3,,,a4c3cbb5bf414612b168f3d715e9ca07,@96_on_the_beach_2015_2_26_15_12_41
01 Autopilot 2,The Red-Raditude-Hurley Years,3.61,27,Death to False Metal,\Deliverance at Hand,,,Autopilot,3.5,Autopilot,Full Song,N,,,,"(Dude 
Dude 
Dude) 

When I wake at the break of the morning 
I ingest my two fried eggs 
If a grain of the salt is missing 
Then I go to the store and beg 
Autopilot 
Whoa-oh-oh-oh-oh yeah-yeah 
I've got to get off 
The autopilot 
Whoa-oh-oh-oh-oh yeah-yeah 
It's pissin' me off 
When I walk to the park with my doggy 
I collect all the things he leaves 
Then I put them up under the microscope 
And I'm so impressed by what I see 
Autopilot 
Whoa-oh-oh-oh-oh yeah-yeah 
I've got to get off 
The autopilot 
Whoa-oh-oh-oh-oh yeah-yeah 
It's pissin' me off 
There is passion in my heartache 
Though I'm trained to stay in this state 
This state 
Ain't no matter how hard I try 
I try 
I will be here until I die 
I die 
10 INPUT ""What is your name?"" 
20 PRINT ""Hello"" 
30 REM 
40 INPUT ""How much cash do you want?"" 
50 FOR I = 1 TO N 
60 PRINT S$ & REM 
70 INPUT ""go to the end"" 
80 IF (A$ = ""be my friend"") THEN PRINT 
""Bad Command"" 
Autopilot 
Whoa-oh-oh-oh-oh yeah-yeah 
I've got to get off the autopilot 
Whoa-oh-oh-oh-oh yeah-yeah 
It's pissin' me off 
The autopilot",Rivers Cuomo,,Deliverance at Hand,225,xxx,Rivers Cuomo,,,,,,,,,,,,100,,,,,,,,f7faa24a90414a81aa403d5ac16d71fd,01 Autopilot 2
01 Christmas in L.A,Pre-Weezer,4.18,38,None,\1990-1992 Yeastmaster Part 1,,,Christmas in L.A.,4.5,Christmas in L.A.,Full Song,N,,,,"Merry Christmas, everybody; I'm just sitting here in my apartment in Los Angeles, California; And I was thinkin' of y'all; So I decided to sing this little song; Here we go. Well, the snow is gently falling Santa's on his way; All the kiddies are tucked in In the Constitution State; But it's quite a different story here; As I'm sipping my eggnog; Santa, he don't dare come here; He can't find his way through the smog, that's right. Christmas in L.A., Christmas in L.A.; Ain't no presents for me today; Christmas in L.A., Christmas in L.A.; I check through my stocking and then I'll be on my way; Ho-ho-ho; Well, I woke up Christmas morning, And my jaw dropped in surprise; It was clear that Santa had been there; From the evidence before my eyes; Yeah, I'd been paid a visit; By the Santa of East L.A., mom! That son-of-a-gun, he stole my TV set, My stereo, and my last week's pay; Christmas in L.A., Christmas in L.A.; Ain't no presents for me today; Christmas in L.A., Christmas in L.A.; I ain't got the tree or the trim anyway; Hi, Mom, Steve, and Leaves, And Grandma and Grandpas, Uncle Rick, Aunt Bev and little John, I just wanna let you know I'm thinking of you on this Christmas. Well, I wish you all a merry, merry Christmas; And a year with good things to bring; As for all that I got this year Was a Christmas cockroach in my stocking! Christmas in L.A., Christmas in L.A.; Ain't no presents for me today; Christmas in L.A., Christmas in L.A.; I check through my stocking and hey, I'll be on my way; Christmas in L.A., Christmas in L.A.; Hey, ma, they don't even have any snow here; Christmas in L.A.; Christmas in L.A.; That's no tree, no snow, no Santa Claus, no presents, no… Christmas in L.A., no Christmas in L.A.! Bah-humbug! I'm going back to Connecticut, man; It's nice and cold, there's snow on the ground; What more could you ask for, man? Now that is Christmas.",Rivers Cuomo,,1990-1992 Yeastmaster Part 1,242,,Rivers Cuomo,,,,,,,,,,,,108,,,,,,,,69aaf8d7f1a447a3891a591c4d176ff5,01 Christmas in L.A
01 Colmusheen,Pre-Weezer,4.21,26,None,\1991-1992 Weezer,,,,4.5,,Full Song,Y,,,,"Everywhere (Cold machines)
This world sucks (Gotta get out)
Crouch in the corner (Scared to move)
So afraid (So removed)
Look around (Everything sucks)
Cold machines (Cold machines)
Things turn on (Things turn off)
By themselves (Find me here)
I just sit (Crouch in the corner)
Scared to move (Scared to breathe)
'Cause I'm alive (I'm not dead)
I can die (Unlike these)
I can die (Unlike these)
I can die (Unlike these)
I'm alone (Unlike these)
Cold machines (Cold machines!)
Cold machines!
I was back (Caveman days)
Not enough food (Died real young)
Got eaten by a bad guy (Least they'd eat)
Least they'd eat, though (They had light)
They had love (They had water)
They had fire (They had weed)
They had souls (They had humanity)
Unlike we (What do we got?)
What do we got? (Cold machines)
Cold stinkin' machines (We got a box)
For everything (Got a box)
Wasted the morning (Got a box)
Make some food real fast (Got a box)
Drivin' real fast (Got a box)
Drivin' real fast
Cold machines!
Where we were (Talk on a box)
Tellin' us what to do (So they can)
Get a good job (Make a lotta money)
So they can (Buy a lotta boxes)
A box for this (A box for that)
What is a box? (But a cold machine)
A cold machine? (For everything!)
Now we got a box (That'll run the world)
So I hear (So I fear)
We got bombs (They're really, really big)
Who's in charge (Of the big, big bombs?)
A man with a heart (Or a cold machine?)
See what I mean? (It's gettin' pretty bad!)
Gotta go back (I wanna go back!)
I wanna go back! (I wanna go back!)
I wanna go back! (I wanna go back!)
Wanna go back!
Cold machines!
I can't run, run away
'Cause I was born in the U.S.A.
Here I am, one thing I do
Play guitar
What about the box?
Plug it in
Cold machine
Fuck that too!
I'm gonna play
No electricity
But I'm gonna play about twice as loud
Since I live in the U.S.A.
We still practice a democracy
I'm gonna vote we shut the power down
Pull the plug on the planet Earth
No more livin' with the cold machines
Cold machines
Only me, my guitar
Four billion nine hundred ninety-nine million
Nine hundred ninety-nine thousand
Nine hundred ninety-nine... other human beings",Rivers Cuomo,,1991-1992 Weezer,185,2hdv2; 3a,Rivers Cuomo,,,,,,,,,,,,108,,,,,,,,81efc3613e9749a6857cd9f913fa8eaa,01 Colmusheen
01 Commencement,By The People,3.54,39,,\geewiz,,,,,,,,,,,,geewiz,,Geewiz,261,,,,,,,,,,,,,,104,,,,,,,,d46dd6f21591464680b72f05273cd330,01 Commencement
01 Epic Intro,EWBAITE,4.34,57,None,\2 stars and below,,,,2,,Instrumental,N,,,A cut off version of Me and My Posse from the Make Believe Bundle,(Instrumental),Rivers Cuomo,,ideas--Used,69,,Rivers Cuomo,,,,,,,,,,,,96,,,,,,,,5b439dc0a0f548d68184631290856f74,01 Epic Intro
01 Fight For Your Right,Pre-Weezer,2.67,9,None,\1985qqq Winds of Birth (Rivers),,,,2,Fight for Your Right,Instrumental,,,,,(Instrumental),Rivers Cuomo,,1985qqq Winds of Birth (Rivers),80,this is me by myself on the yamaha. early 1985?,Rivers Cuomo,,,,,,,,,,,,62,,,,,,,,9034aa0c545b49078059c7bf8fbaab2a,01 Fight For Your Right
01 Hello Men And Boys,Pre-Weezer,3.6,15,None,\1990-1992 Yeastmaster Part 2,,,Hello Men And Boys,2,Hello Men and Boys,Full Song,N,,,,"Hello men and boys 
What's with all this noise? 
It's too damn early to be woken 
And what's this on the news? 
Where are my fighting shoes? 
Where is that lonely word we've spoken? 
And how come it seems to be 
That only a casualty 
Can open my eyes to what I'm doing?",Rivers Cuomo,,1990-1992 Yeastmaster Part 2,61,,Rivers Cuomo,,,,,,,,,,,,100,,,,,,,,4ca4fb1b6e424d0993b9481452d0cbf9,01 Hello Men And Boys
01 Hit The Jungle,Pre-Weezer,1.67,9,None,\1990 Best Of The Worst,,,,2,Hit the Jungle,Full Song,,,,,,Rivers Cuomo,,1990 Best Of The Worst,166,,Rivers Cuomo,,,,,,,,,,,,100,,,,,,,,9f01c536411f42b2b7d46af58d0d018a,01 Hit The Jungle
01 Homer Pig News intro to Strange S,Pre-Weezer,2.67,9,None,\1982 Homer Pig News Radio Show Strange S,,,,1,,Sketch,N,,,,,Rivers Cuomo,,1982 Homer Pig News Radio Show Strange S,54,1hdv2,Rivers Cuomo,,,,,,,,,,,,65,,,,,,,,22a484a9518a411daf873d5e5ca5c109,01 Homer Pig News intro to Strange S
